SL.No.,State/UT,Year,Rape ,Kidnapping & Abduction,Dowery Deaths,Assault on women with intent to outrage her modesty,Insult to modesty of women,Cruelty by Husband or his Relatives,Importation of girls,Cyber Crimes(women centric crimes)
1,Andhra Pradesh,2017,1005,741,152,5222,2041,7429,150,15
2,Arunachal Pradesh,2017,71,86,0,111,7,66,2,0
3,Assam,2017,2048,5703,193,3610,108,10598,40,169
4,Bihar,2017,616,6188,1081,197,1,3776,24,4
5,Chhattisgarh,2017,1926,1474,75,1944,144,582,27,5
6,Goa,2017,76,64,1,139,32,21,1,0
7,Gujarat,2017,479,1270,9,1064,17,3232,37,10
8,Haryana,2017,1104,2998,254,2037,180,3389,70,16
9,Himachal Pradesh,2017,251,245,3,398,52,191,12,26
10,Jammu & Kashmir,2017,298,947,8,1481,52,378,0,4
11,Jharkhand,2017,927,1038,310,755,105,1055,4,0
12,Karnataka,2017,558,998,217,6171,216,2426,386,35
13,Kerala,2017,2035,190,12,4464,432,3021,23,23
14,Madhya Pradesh,2017,5599,5427,635,9396,277,6144,27,22
15,Maharashtra,2017,1945,6560,239,9518,940,6711,461,32
16,Manipur,2017,41,70,0,66,9,19,0,1
17,Meghalaya,2017,119,56,1,88,21,20,0,3
18,Mizoram,2017,25,0,0,64,2,20,0,1
19,Nagaland,2017,10,8,0,12,0,3,18,0
20,Odisha,2017,2082,2773,365,9132,490,2525,21,23
21,Punjab,2017,550,1133,72,970,22,1290,17,13
22,Rajasthan,2017,3319,3913,458,4895,24,11508,133,11
23,Sikkim,2017,17,29,0,21,7,5,0,0
24,Tamil Nadu,2017,283,869,48,753,9,984,585,29
25,Telangana,2017,699,1066,270,4635,1244,8434,102,39
26,Tripura,2017,101,95,34,243,9,351,0,0
27,Uttar Pradesh,2017,4669,15747,2711,13139,92,12895,25,28
28,Uttarakhand,2017,397,381,65,442,4,397,9,20
29,West Bengal,2017,1084,4602,501,3870,453,17078,98,60
30,A&N Islands,2017,13,3,1,38,11,4,0,0
31,Chandigarh,2017,65,147,1,101,12,121,0,3
32,D&N Haveli,2017,1,0,0,3,0,4,0,0
33,Daman & Diu,2017,7,0,0,6,1,5,0,0
34,Delhi,2017,1231,3901,120,2903,634,2769,6,20
35,Lakshadweep,2017,0,0,0,0,0,2,0,0
36,Puducherry,2017,7,13,2,36,4,5,0,0
37,Andhra Pradesh,2018,973,719,140,4480,1810,6889,204,39
38,Arunachal Pradesh,2018,70,95,0,104,12,60,0,0
39,Assam,2018,1767,6737,176,4204,171,11261,37,297
40,Bihar,2018,651,8002,1111,262,30,2603,50,6
41,Chhattisgarh,2018,2101,1847,79,1864,187,504,15,21
42,Goa,2018,61,87,0,127,26,10,7,3
43,Gujarat,2018,553,1048,9,1213,12,2928,34,23
44,Haryana,2018,1296,3449,216,2676,192,4195,53,43
